id,model,favs,downloads,url
214b4561-0716-4f21-847c-99e7619df246,Crate GX-65,7,15,https://tonehunt.org/markswarbrick/214b4561-0716-4f21-847c-99e7619df246
214b4561-0716-4f21-847c-99e7619df246,Crate GX-65,7,15,https://tonehunt.org/markswarbrick/214b4561-0716-4f21-847c-99e7619df246
a58dc12a-6e56-4ebb-b583-72114ab280f7,Mesa Boogie Dual Rectifier 100w Solo Head,11,24,https://tonehunt.org/danschultz4384/a58dc12a-6e56-4ebb-b583-72114ab280f7
a58dc12a-6e56-4ebb-b583-72114ab280f7,Mesa Boogie Dual Rectifier 100w Solo Head,11,24,https://tonehunt.org/danschultz4384/a58dc12a-6e56-4ebb-b583-72114ab280f7
dc385007-5b56-4e1c-9a59-766575cf3ced,Mesa Boogie Dual Rectifier 100w Solo Head,11,24,https://tonehunt.org/danschultz4384/dc385007-5b56-4e1c-9a59-766575cf3ced
dc385007-5b56-4e1c-9a59-766575cf3ced,Mesa Boogie Dual Rectifier 100w Solo Head,11,24,https://tonehunt.org/danschultz4384/dc385007-5b56-4e1c-9a59-766575cf3ced
5d455883-4570-4c12-92b6-9863839d7f2c,Mesa Boogie Dual Rectifier 100w Solo Head,11,23,https://tonehunt.org/danschultz4384/5d455883-4570-4c12-92b6-9863839d7f2c
5d455883-4570-4c12-92b6-9863839d7f2c,Mesa Boogie Dual Rectifier 100w Solo Head,11,23,https://tonehunt.org/danschultz4384/5d455883-4570-4c12-92b6-9863839d7f2c
7f0a2fe4-cb1e-42d9-878b-28f8f45026dd,Mesa Boogie Dual Rectifier 100w Solo Head,11,26,https://tonehunt.org/danschultz4384/7f0a2fe4-cb1e-42d9-878b-28f8f45026dd
7f0a2fe4-cb1e-42d9-878b-28f8f45026dd,Mesa Boogie Dual Rectifier 100w Solo Head,11,26,https://tonehunt.org/danschultz4384/7f0a2fe4-cb1e-42d9-878b-28f8f45026dd
03e857b8-ad70-4f47-9662-385ecd6f45d5,"Salvation Audio Unnamed, MXR M77, Ceriatone King Kong 100W",9,24,https://tonehunt.org/2dor/03e857b8-ad70-4f47-9662-385ecd6f45d5
b9b3b27e-8549-4590-be7a-f46c83c7f3a7,Marshall JCM 900 Ch B,12,25,https://tonehunt.org/obi-Juan/b9b3b27e-8549-4590-be7a-f46c83c7f3a7
f8a2499d-7df4-4398-9c26-45ba03d1c60d,"Synergy, Friedman, Ceriatone",12,28,https://tonehunt.org/2dor/f8a2499d-7df4-4398-9c26-45ba03d1c60d
f9b40b87-2096-4db8-b8c4-544d0e9d8984,Ceriatone King Kong 100W,13,43,https://tonehunt.org/2dor/f9b40b87-2096-4db8-b8c4-544d0e9d8984
1a3afdc4-6709-4fd5-b71c-3911877564e2,Alien Monster 15,16,37,https://tonehunt.org/BryanHolmes/1a3afdc4-6709-4fd5-b71c-3911877564e2
1a3afdc4-6709-4fd5-b71c-3911877564e2,Alien Monster 15,16,37,https://tonehunt.org/BryanHolmes/1a3afdc4-6709-4fd5-b71c-3911877564e2
c7002123-4d5f-412f-8fdb-4ea2936328b5,Ceriatone Yeti 50W,14,42,https://tonehunt.org/brianbuckles/c7002123-4d5f-412f-8fdb-4ea2936328b5
c7002123-4d5f-412f-8fdb-4ea2936328b5,Ceriatone Yeti 50W,14,42,https://tonehunt.org/brianbuckles/c7002123-4d5f-412f-8fdb-4ea2936328b5
6a8a35a5-dc5b-4608-84dd-b71728b4af15,"Salvation Audio, Ceriatone",14,40,https://tonehunt.org/2dor/6a8a35a5-dc5b-4608-84dd-b71728b4af15
6a8a35a5-dc5b-4608-84dd-b71728b4af15,"Salvation Audio, Ceriatone",14,40,https://tonehunt.org/2dor/6a8a35a5-dc5b-4608-84dd-b71728b4af15
d614d3cf-03c3-4d80-b16e-04f7e753bdea,Ceriatone King Kong 100W,14,33,https://tonehunt.org/2dor/d614d3cf-03c3-4d80-b16e-04f7e753bdea
3dac3fac-85f8-41ca-99cc-f674fbe582bb,Mesa Boogie Dual Rectifier 100w Solo Head,12,24,https://tonehunt.org/danschultz4384/3dac3fac-85f8-41ca-99cc-f674fbe582bb
3dac3fac-85f8-41ca-99cc-f674fbe582bb,Mesa Boogie Dual Rectifier 100w Solo Head,12,24,https://tonehunt.org/danschultz4384/3dac3fac-85f8-41ca-99cc-f674fbe582bb
0f0a7e70-cd96-4227-a275-44cfe9d6eb2e,Mesa Boogie Dual Rectifier 100w Solo Head,13,25,https://tonehunt.org/danschultz4384/0f0a7e70-cd96-4227-a275-44cfe9d6eb2e
0f0a7e70-cd96-4227-a275-44cfe9d6eb2e,Mesa Boogie Dual Rectifier 100w Solo Head,13,25,https://tonehunt.org/danschultz4384/0f0a7e70-cd96-4227-a275-44cfe9d6eb2e
e3f57849-c626-4631-99a1-ca604b9191dd,Mesa Boogie Dual Rectifier 100w Solo Head,12,23,https://tonehunt.org/danschultz4384/e3f57849-c626-4631-99a1-ca604b9191dd
e3f57849-c626-4631-99a1-ca604b9191dd,Mesa Boogie Dual Rectifier 100w Solo Head,12,23,https://tonehunt.org/danschultz4384/e3f57849-c626-4631-99a1-ca604b9191dd
aa674333-0d92-47d8-8f7a-b83aef756102,Mesa Boogie Single Rectifier Ser. 2,10,18,https://tonehunt.org/Wili/aa674333-0d92-47d8-8f7a-b83aef756102
8a609210-2322-4c91-8562-c116a22d89ef,EVH 5150 III 50w Red Channel,17,33,https://tonehunt.org/AmpsPedalsPickups/8a609210-2322-4c91-8562-c116a22d89ef
